topic1;question;category;
fármacos o sustancias;cómo diseña desarrolla droga sustancia médica;3;
salud femenina;cómo maneja salud femenina embarazo presencia covid 19 saber vacuna covid 19;10;
trastornos neurológicos;podrías darme información general trastornos neurooftalmológicos pares craneanos;26;
ginecología y obstetricia;cómo trata disfunción tubaria anomalías pélvicas;5;
trastornos renales y del tracto urinario;podrías darme información vías urinarias;33;
trastornos neurológicos;cómo reconocen síntomas signos disreflexia autónoma médula espinal;26;
trastornos de la piel;cómo trata pitiriasis rubra pilaris;13;
trastornos de la salud mental;cómo presenta introducción trastorno psicótico breve;14;
inmunología y trastornos alérgicos;cómo diagnostica deficiencia selectiva iga;8;
trastornos de la piel;cómo presentan acrocordones trastornos piel;13;
trastornos neurológicos;cómo reconocen síntomas signos esclerosis lateral amiotrófica enfermedades neurona motora;26;
trastornos inmunológicos;cómo realizan pruebas cribado previas trasplante;25;
trastornos nutricionales;podrías darme información general vitaminas relación trastornos nutricionales;27;
infecciones;cómo previene fiebre maculosa montañas rocosas;7;
trastornos del pulmón y las vías respiratorias;cómo previene embolia pulmonar;20;
trastornos dermatológicos;dime psoriasis;21;
hematología y oncología;dame información introducción linfoma hodgkin hematología oncología;6;
enfermedades cerebrales; medulares y nerviosas;cómo complican meningitis bacteriana aguda enfermedades cerebrales medulares nerviosas;1
trastornos de los huesos; articulaciones y músculos;dame información introducción enfermedad behçet trastornos huesos articulaciones músculos;16
salud femenina;cómo identifican síntomas trastorno dolor genitopélvico penetración;10;
trastornos cardiovasculares;podrías darme información general enfermedad coronaria anatomía arterias coronarias;12;
infecciones;dame información introducción infecciones flora saprófita;7;
hematología y oncología;cómo realiza terapia inmunoterapéutica celular pasiva cáncer;6;
trastornos renales y del tracto urinario;cómo diagnostica nefronoptisis enfermedad renal tubulointersticial autosómica dominante;33;
trastornos de la piel;cómo diagnostica pitiriasis rosada;13;
trastornos neurológicos;podrías darme información general delirio demencia contexto trastornos neurológicos;26;
inmunología y trastornos alérgicos;cómo diagnostica síndrome hipergammaglobulinemia e;8;
trastornos neurológicos;cuáles conceptos clave compresión medular;26;
infecciones;cómo producen infecciones chlamydia pneumoniae;7;
trastornos del pulmón y las vías respiratorias;cómo trata tumores vías respiratorias;20;
ginecología y obstetricia;cómo detecta insuficiencia ovárica primaria qué síntomas signos fallo ovárico;5;
trastornos hormonales y metabólicos;dame información introducción trastornos hormonales metabólicos deshidratación;24;
salud femenina;cómo diagnostica fibroma uterino;10;
trastornos oftálmicos;cómo produce úlcera córnea;29;
trastornos urogenitales;cómo produce disuria;34;
infecciones;cómo trata enfermedad chagas;7;
fundamentos;cómo elegir ejercicio físico correcto según fundamentos actividad caminar;2;
infecciones;cómo administra vacuna varicela;7;
salud de las personas de edad avanzada;cómo introduce atención personas mayores residencias;9;
trastornos del hígado y de la vesícula biliar;cómo presenta introducción hepatitis trastornos hígado vesícula biliar;19;
trastornos hepáticos y biliares;cómo presentan trastornos hepáticos biliares quistes hepáticos;23;
hematología y oncología;cómo evaluar esplenomegalia;6;
fundamentos;qué órdenes reanimación órdenes médicas tratamiento soporte vital polst fundamentos;2;
hematología y oncología;cómo presentan secuelas cáncer hematología oncología;6;
trastornos otorrinolaringológicos;cómo presentan síntomas mastoiditis;30;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica muerte cardíaca súbita deportistas edad avanzada;18;
fundamentos;qué fundamentos ejercicio beneficios importante hacerlo;2;
trastornos neurológicos;cómo presentan síntomas signos aneurismas cerebrales;26;
trastornos neurológicos;cómo trata enfermedad creutzfeldtjakob ecj neurológica;26;
trastornos hormonales y metabólicos;cómo diagnostica hipoparatiroidismo pseudohipoparatiroidismo;24;
trastornos oftálmicos;cómo realiza cirugía corregir errores refracción;29;
ginecología y obstetricia;cómo maneja parto normal ginecología obstetricia tipo anestesia utiliza;5;
trastornos cardiovasculares;dame informaciones introductivas bloqueo rama fascículo bloqueo división rama fascículo;12;
ginecología y obstetricia;cómo trata trastornos cardíacos embarazo;5;
trastornos del pulmón y las vías respiratorias;cómo trata tos sanguinolenta hogar;20;
trastornos de la salud mental;cómo presenta introducción amnesia disociativa mental;14;
ginecología y obstetricia;dime dolor pélvico femenino introducción;5;
trastornos neurológicos;cuáles conceptos clave hemorragias intracerebrales neurológicas;26;
salud femenina;cómo presentan complicaciones parto cómo evoluciona proceso parto;10;
traumatismos y envenenamientos;cómo abordan traumatismos envenenamientos mordeduras humanas;35;
ginecología y obstetricia;cómo presenta distocia fetal presentación frente rostro ginecología obstetricia;5;
trastornos oftálmicos;cómo manejan trastornos oftálmicos hogar especialmente relación enrojecimiento ocular;29;
traumatismos y envenenamientos;cómo presenta introducción ojo morado contexto traumas envenenamientos;35;
trastornos pulmonares;cómo trata asma medicamentos qué papel desempeñan corticosteroides farmacoterapia asma;32;
geriatría;cómo realiza evaluación geriátrica completa geriatría;4;
trastornos de los tejidos musculoesquelético y conectivo;qué generalidades vasculitis fisiopatología;17;
traumatismos y envenenamientos;cómo presentan síntomas mordeduras humanas;35;
hematología y oncología;cómo diagnostican anemias macrocíticas megaloblásticas;6;
geriatría;qué generalidades atención geriátrica ámbitos presta;4;
traumatismos y envenenamientos;dame informaciones introducción picaduras abejas avispas avispones hormigas traumatismos;35;
trastornos otorrinolaringológicos;cómo produce faringoamigdalitis;30;
salud femenina;cómo diagnostica trastorno tromboembólico embarazo;10;
trastornos del corazón y los vasos sanguíneos;cómo causan choques shock;18;
trastornos inmunológicos;cómo trata síndrome chédiak higashi;25;
trastornos dermatológicos;cómo reconocen verrugas;21;
trastornos de la salud mental;cómo trata trastorno voyeurista;14;
trastornos pulmonares;cómo realiza toracostomía aguja contexto trastornos pulmonares cómo debe posicionar paciente realizar toracostomía aguja;32;
trastornos neurológicos;cómo realiza electromiografía estudiar trastornos neurológicos;26;
infecciones;cómo trata infección virus ébola virus marburgo;7;
trastornos otorrinolaringológicos;cómo supura oído;30;
trastornos hepáticos y biliares;cómo diagnostica síndrome obstrucción sinusoidal hepática biliar;23;
trastornos neurológicos;cómo evaluar nervio craneal 8 detectar trastornos neurológicos;26;
trastornos inmunológicos;cómo presentan síntomas síndrome linfoproliferativo ligado cromosoma x;25;
salud femenina;cómo describe fase ovulatoria ciclo menstrual salud femenina;10;
inmunología y trastornos alérgicos;cómo presentan trastornos autoinmunitarios;8;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica hinchazón corazón vasos sanguíneos;18;
trastornos del pulmón y las vías respiratorias;cómo identifican síntomas fibrosis pulmonar idiopática;20;
trastornos de la piel;cómo trata prurito;13;
trastornos del corazón y los vasos sanguíneos;dame información estenosis mitral;18;
salud de las personas de edad avanzada;cómo introduce atención salud personas edad avanzada comunidades vida asistida;9;
trastornos del corazón y los vasos sanguíneos;cómo trata pericarditis crónica;18;
trastornos de los huesos; articulaciones y músculos;cómo trata osteonecrosis;16
trastornos del corazón y los vasos sanguíneos;dame informaciones introductivas regurgitación válvula mitral;18;
trastornos otorrinolaringológicos;cómo trata pólipos nódulos granulomas cuerdas vocales;30;
fundamentos;puedes darme información introducción medicina preventiva cómo obtener detalles fundamentos;2;
trastornos endocrinológicos y metabólicos;cómo presentan síntomas signos neoplasia endocrina múltiple tipo 2a nem 2a;22;
trastornos hepáticos y biliares;cómo diagnostica hepatitis viral aguda;23;
ginecología y obstetricia;cuáles factores riesgo complicaciones embarazo relación obstetricia peso materno;5;
trastornos urogenitales;dame información introducción trastornos urogenitales lesiones cutáneas penianas;34;
trastornos psiquiátricos;cómo trata trastorno paranoide personalidad;31;
fundamentos;cómo utiliza genética diagnóstico trastornos;2;
ginecología y obstetricia;cómo trata cáncer vulva;5;
trastornos del pulmón y las vías respiratorias;cómo evaluar tos sangre;20;
trastornos renales y del tracto urinario;causas sangre orina;33;
trastornos cardiovasculares;dame informaciones introductivas síndrome brugada;12;
trastornos dermatológicos;cómo realizan pruebas diagnósticas trastornos cutáneos;21;
infecciones;cómo diagnostica peste;7;
trastornos neurológicos;cómo causa parkinsonismo secundario atípico;26;
trastornos otorrinolaringológicos;cómo presenta introducción epiglotitis trastornos otorrinolaringológicos;30;
trastornos del corazón y los vasos sanguíneos;cómo diagnostica síndrome raynaud secundario;18;
trastornos endocrinológicos y metabólicos;cómo causa síndrome secreción inadecuada hormona antidiurética siadh;22;
trastornos de los huesos; articulaciones y músculos;cómo presenta artrosis mano;16
infecciones;dame información introducción enfermedad linfogranuloma venéreo;7;
trastornos oftálmicos;cómo presentan síntomas membrana epirretiniana;29;
trastornos de los tejidos musculoesquelético y conectivo;cómo inyecta bolsa trocantérica complicaciones pueden surgir;17;
trastornos de la sangre;cómo trata telangiectasia hemorrágica hereditaria;15;
trastornos de los huesos; articulaciones y músculos;cómo presenta enfermedad mixta tejido conjuntivo;16
trastornos oftálmicos;dame información introducción trastornos oftálmicos queratoconjunctivitis seca keratoconjunctivitis sicca;29;
trastornos renales y del tracto urinario;cómo presentan síntomas glomerulonefritis;33;
trastornos de los huesos; articulaciones y músculos;cómo diagnostica lesión nervios pie relacionada trastornos huesos articulaciones músculos;16
trastornos del hígado y de la vesícula biliar;dame informaciones introductories síndrome obstrucción sinusoidal hígado;19;
